text,label
kalau dari pengalamanku overall masih oke untuk harga segini,1
jujur ya adminnya susah dihubungi!,0
kalau dari pengalamanku overall masih oke untuk harga segini...,1
produk ini beneran bagus buat pemakaian harian,2
buatku produk ini standar dari pengalaman pertama sih,1
buatku recommended banget dari segi fitur sih,2
kalau dari pengalamanku kualitasnya mantap dari segi fitur buatku.,2
buatku packaging rusak waktu sampai untuk harga segini buatku,0
tidak recommended buat pemakaian harian buatku,0
kalau dari pengalamanku dipakai harian tetap nyaman dari pengalaman pertama sih,2
buatku adminnya responsif dan ramah sih,2
buatku fiturnya sangat membantu buat pemakaian harian,2
overall masih oke untuk harga segini buat pemakaian harian ya!,1
buatku barang ini standar dari pengalaman pertama sih...,1
kalau dari pengalamanku fiturnya cukup membantu sih,1
review singkat kwalitasnya lumayan buat pemakaian harian banget,1
menurutku harga tidak sebanding dari segi fitur sih,0
review singkat saya tidak puas untuk harga segini sih,0
jujur ya packaging rusak waktu sampai dari segi fitur bgt,0
kalau dari pengalamanku pengiriman sesuai estimasi buat pemakaian harian menurutku,1
menurutku sejauh ini aman tapi belum spesial.,1
review singkat servis cukup biasa dari pengalaman pertama,1
kalau dari pengalamanku harga tidak sebanding dari pengalaman pertama sih,0
review singkat fiturnya cukup membantu untuk harga segini,1
buatku harga masih oke untuk harga segini menurutku,1
jujur ya dipakai sebentar langsung bermasalah dari pengalaman pertama menurutku,0
review singkat produk ini standar untuk harga segini menurutku,1
buatku pelayanan sangat lambat ya,0
review singkat saya suka hasilnya buat pemakaian harian sih,2
review singkat harga masih oke dari pengalaman pertama,1
menurutku pelayanan cukup biasa dari pengalaman pertama.,1
harga masih oke banget,1
buatku produk ini sangat bagus dari segi fitur,2
kalau dari pengalamanku packaging rusak waktu sampai dari pengalaman pertama sih,0
kalau dari pengalamanku pelayanan cukup biasa dari segi fitur!,1
review singkat dipakai harian tetap nyaman untuk harga segini buatku,2
jujur ya fiturnya sering error buat pemakaian harian sih,0
kalau dari pengalamanku saya suka hasilnya dari pengalaman pertama banget,2
kualitasnya lumayan buat pemakaian harian menurutku.,1
jujur ya kwalitasnya lumayan dari pengalaman pertama ya...,1
jujur ya adminnya responsif dan ramah untuk harga segini banget.,2
jujur ya pengalaman saya biasa saja dari pengalaman pertama ya,1
review singkat recommended banget untuk harga segini buatku,2
review singkat produk ini standar untuk harga segini bgt!,1
buatku pengalaman saya biasa saja untuk harga segini menurutku,1
kalau dari pengalamanku dipakai harian tetap nyaman menurutku!,2
harga tidak sebanding buat pemakaian harian ya,0
pelayanan sangat lambat,0
kalau dari pengalamanku harga sesuai kualitas buatku,2
jujur ya fiturnya sering error ya,0
buatku fiturnya cukup membantu dari pengalaman pertama banget,1
jujur ya servis sangat lambat dari pengalaman pertama,0
buatku fiturnya jalan sesuai deskripsi dari pengalaman pertama ya,1
buatku barang datang dalam kondisi jelek dari segi fitur banget,0
review singkat tidak recommended untuk harga segini ya,0
buatku pengiriman terlambat dari pengalaman pertama menurutku,0
harga tidak sebanding untuk harga segini banget.,0
kalau dari pengalamanku adminnya susah dihubungi dari pengalaman pertama ya,0
jujur ya barang datang dalam kondisi jelek dari pengalaman pertama sih,0
kalau dari pengalamanku pengiriman terlambat untuk harga segini.,0
buatku worth it banget buat dibeli dari pengalaman pertama,2
kalau dari pengalamanku barang ini standar untuk harga segini ya,1
kalau dari pengalamanku kualitasnya lumayan menurutku,1
buatku packaging rapi dan aman untuk harga segini banget,2
buatku pengiriman tepat waktu buat pemakaian harian,2
barang datang dalam kondisi jelek untuk harga segini sih...,0
menurutku worth it bgt buat dibeli dari segi fitur,2
kalau dari pengalamanku pengiriman tepat waktu banget,2
overall masih oke untuk harga segini ya,1
buatku recommended banget dari segi fitur ya,2
buatku fiturnya jalan sesuai deskripsi buat pemakaian harian buatku,1
jujur ya produk ini standar dari segi fitur!,1
pelayanannya sangat lambat buat pemakaian harian banget,0
review singkat pelayanannya cukup biasa menurutku,1
buatku pengiriman normal tidak cepat tidak lambat buat pemakaian harian menurutku,1
hasilnya tidak buruk tidak istimewa untuk harga segini ya,1
menurutku tidak recommended sih,0
jujur ya packaging rapi dan aman dari segi fitur buatku,2
kalau dari pengalamanku harga sesuai kualitas untuk harga segini ya,2
jujur ya servis cepat dan memuaskan dari pengalaman pertama menurutku,2
buatku kualitasnya lumayan dari pengalaman pertama,1
jujur ya kwalitasnya buruk dari segi fitur menurutku,0
jujur ya saya suka hasilnya untuk harga segini,2
buatku kualitasnya lumayan sih,1
menurutku gak recommended buat pemakaian harian banget,0
menurutku dipakai harian tetap nyaman buat pemakaian harian menurutku,2
fiturnya beneran membantu buat pemakaian harian buatku,2
jujur ya pengalaman saya biasa saja dari pengalaman pertama buatku...,1
menurutku kualitasnya lumayan untuk harga segini buatku,1
kalau dari pengalamanku harga ga sebanding buat pemakaian harian menurutku,0
review singkat pengalaman saya biasa saja dari segi fitur,1
jujur ya fiturnya sangat membantu dari segi fitur,2
buatku tidak recommended dari segi fitur ya,0
packaging rapi dan aman dari pengalaman pertama,2
menurutku produk ini sangat bagus ya.,2
buatku pelayanan sangat lambat dari segi fitur banget,0
menurutku dipakai harian tetap nyaman ya,2
kalau dari pengalamanku harga tidak sebanding banget,0
jujur ya ga recommended untuk harga segini menurutku,0
jujur ya dipakai harian tetap nyaman banget,2
dipakai sebentar langsung bermasalah ya,0
kalau dari pengalamanku worth it bnget buat dibeli buat pemakaian harian,2
review singkat fiturnya jalan sesuai deskripsi buat pemakaian harian banget,1
jujur ya pengalaman saya biasa saja buat pemakaian harian bnget,1
review singkat harga masih oke dari pengalaman pertama banget,1
review singkat servis cepat dan memuaskan buatku,2
review singkat packaging rusak waktu sampai dari pengalaman pertama banget...,0
jujur ya pengiriman normal tidak cepat tidak lambat buatku,1
jujur ya adminnya susah dihubungi buat pemakaian harian sih,0
pengalaman saya biasa saja buat pemakaian harian banget,1
kalau dari pengalamanku dipakai sebentar langsung bermasalah dari segi fitur buatku,0
jujur ya dipakai harian tetap nyaman buat pemakaian harian menurutku,2
kalau dari pengalamanku saya tidak puas untuk harga segini menurutku,0
review singkat sejauh ini aman tapi belum spesial menurutku.,1
buatku sejauh ini aman tapi belum spesial buat pemakaian harian ya,1
review singkat fiturnya sangat membantu buat pemakaian harian!,2
kalau dari pengalamanku produk ini standar ya...,1
harga sesuai kualitas dari segi fitur bgt,2
jujur ya servis cukup biasa dari segi fitur buatku,1
jujur ya kwalitasnya buruk,0
menurutku kwalitasnya buruk untuk harga segini,0
menurutku pelayanan cukup biasa untuk harga segini bgt,1
jujur ya saya nggak puas dari segi fitur ya,0
kalau dari pengalamanku produk ini standar dari pengalaman pertama ya,1
review singkat sejauh ini aman tapi belum spesial buat pemakaian harian menurutku,1
dipakai sebentar langsung bermasalah dari segi fitur banget,0
menurutku kualitasnya lumayan dari segi fitur sih,1
menurutku packaging rusak waktu sampai,0
packaging rapi dan aman dari segi fitur menurutku,2
fiturnya sering error buat pemakaian harian,0
kualitasnya buruk buatku,0
buatku overall masih oke untuk harga segini dari pengalaman pertama sih...,1
menurutku fiturnya sangat membantu untuk harga segini menurutku,2
menurutku fiturnya sering error untuk harga segini!,0
buatku fiturnya sangat membantu untuk harga segini banget...,2
jujur ya fiturnya cukup membantu untuk harga segini ya,1
kalau dari pengalamanku kualitasnya lumayan menurutku,1
review singkat adminnya responsif dan ramah.,2
buatku worth it banget buat dibeli untuk harga segini banget...,2
kalau dari pengalamanku saya suka hasilnya dari segi fitur menurutku,2
jujur ya adminnya responsif dan ramah dari segi fitur buatku,2
jujur ya hasilnya tidak buruk tidak istimewa dari pengalaman pertama menurutku,1
jujur ya tidak recommended dari segi fitur menurutku,0
menurutku harga gak sebanding untuk harga segini bgt,0
menurutku harga sesuai kualitas dari pengalaman pertama sih,2
menurutku overall masih oke untuk harga segini menurutku,1
review singkat packaging rusak waktu sampai untuk harga segini ya,0
review singkat fiturnya sering error dari pengalaman pertama,0
menurutku packaging rapi dan aman ya,2
jujur ya saya tidak puas untuk harga segini ya,0
produk ini mengecewakan buat pemakaian harian menurutku,0
kalau dari pengalamanku packaging rusak waktu sampai untuk harga segini ya,0
fiturnya cukup membantu bgt,1
buatku dipakai harian tetap nyaman untuk harga segini buatku,2
buatku harga masih oke sih,1
review singkat produk ini mengecewakan buat pemakaian harian sih,0
menurutku pelayanan sangat lambat buat pemakaian harian ya,0
buatku harga sesuai kualitas dari segi fitur,2
buatku worth it banget buat dibeli dari pengalaman pertama buatku,2
menurutku barang ini sangat bagus untuk harga segini,2
kalau dari pengalamanku fiturnya jalan sesuai deskripsi dari segi fitur,1
kalau dari pengalamanku produk ini beneran bagus dari segi fitur buatku,2
review singkat adminnya susah dihubungi dari pengalaman pertama,0
kalau dari pengalamanku harga tidak sebanding ya,0
jujur ya barang datang dalam kondisi jelek dari segi fitur,0
buatku saya suka hasilnya dari pengalaman pertama bgt,2
recommended banget untuk harga segini menurutku...,2
overall masih oke untuk harga segini dari pengalaman pertama,1
jujur ya delivery tepat waktu menurutku,2
buatku packaging rapi dan aman untuk harga segini ya,2
jujur ya fiturnya cukup membantu dari pengalaman pertama buatku,1
review singkat sejauh ini aman tapi belum spesial sih,1
buatku worth it banget buat dibeli,2
sejauh ini aman tapi belum spesial,1
buatku barang datang dalam kondisi jelek dari segi fitur banget,0
review singkat fiturnya sangat membantu dari pengalaman pertama sih,2
buatku saya suka hasilnya dari segi fitur buatku!,2
menurutku recommended bnget untuk harga segini menurutku,2
jujur ya saya nggak puas untuk harga segini buatku!,0
jujur ya kualitasnya buruk dari pengalaman pertama sih,0
kalau dari pengalamanku fiturnya sering error buat pemakaian harian buatku,0
fiturnya sering error untuk harga segini banget,0
kualitasnya lumayan untuk harga segini ya,1
kalau dari pengalamanku kualitasnya buruk sih...,0
pelayanan cukup biasa dari segi fitur buatku,1
kalau dari pengalamanku saya suka hasilnya menurutku!,2
review singkat kualitasnya buruk buat pemakaian harian,0
menurutku fiturnya beneran membantu untuk harga segini menurutku,2
review singkat kualitasnya buruk dari pengalaman pertama ya...,0
buatku fiturnya sering error dari segi fitur sih,0
review singkat sejauh ini aman tapi belum spesial untuk harga segini menurutku...,1
kalau dari pengalamanku produk ini standar buat pemakaian harian ya,1
kalau dari pengalamanku tidak recommended dari pengalaman pertama ya,0
kualitasnya lumayan untuk harga segini sih,1
menurutku recommended banget banget,2
menurutku servis beneran lambat ya,0
worth it banget buat dibeli dari pengalaman pertama ya,2
review singkat pengiriman sesuai estimasi dari pengalaman pertama!,1
menurutku packaging rapi dan aman untuk harga segini bnget,2
review singkat worth it banget buat dibeli untuk harga segini menurutku...,2
menurutku pelayanan sangat lambat buat pemakaian harian banget,0
jujur ya pengiriman tepat waktu dari segi fitur,2
jujur ya sejauh ini aman tapi belum spesial buat pemakaian harian banget,1
jujur ya barang ini mengecewakan untuk harga segini buatku,0
jujur ya hasilnya ga buruk tidak istimewa untuk harga segini buatku,1
kalau dari pengalamanku worth it banget buat dibeli sih,2
buatku pengiriman tepat waktu buat pemakaian harian buatku,2
pengiriman normal tidak cepat tidak lambat buat pemakaian harian ya,1
review singkat packaging rusak waktu sampai untuk harga segini ya,0
packaging rapi dan aman dari segi fitur,2
menurutku delivery tepat waktu,2
menurutku dipakai sebentar langsung bermasalah untuk harga segini sih,0
jujur ya pengiriman sesuai estimasi buat pemakaian harian sih,1
review singkat fiturnya sangat membantu banget,2
jujur ya pelayanan cukup biasa dari segi fitur banget,1
dipakai sebentar langsung bermasalah untuk harga segini ya,0
worth it bgt buat dibeli buat pemakaian harian,2
review singkat produk ini sangat bagus dari segi fitur menurutku,2
review singkat saya tidak puas dari segi fitur sih!,0
menurutku nggak recommended menurutku,0
menurutku saya suka hasilnya buatku!,2
menurutku pengiriman sesuai estimasi untuk harga segini buatku,1
kalau dari pengalamanku dipakai harian tetap nyaman dari pengalaman pertama ya,2
review singkat harga masih oke banget,1
kalau dari pengalamanku harga masih oke untuk harga segini buatku,1
jujur ya harga tidak sebanding dari segi fitur menurutku,0
review singkat sejauh ini aman tapi belum spesial ya!,1
buatku packaging rusak waktu sampai buat pemakaian harian sih,0
buatku hasilnya gak buruk tidak istimewa dari pengalaman pertama,1
buatku harga masih oke untuk harga segini sih,1
menurutku pengiriman terlambat dari pengalaman pertama ya...,0
kalau dari pengalamanku harga ga sebanding untuk harga segini sih,0
review singkat barang datang dalam kondisi jelek dari pengalaman pertama menurutku...,0
review singkat harga masih oke untuk harga segini sih,1
kalau dari pengalamanku harga sesuai kualitas dari segi fitur menurutku,2
menurutku fiturnya sering error untuk harga segini sih...,0
kalau dari pengalamanku pengiriman tepat waktu dari segi fitur menurutku,2
menurutku saya suka hasilnya dari pengalaman pertama,2
menurutku recommended banget untuk harga segini menurutku,2
pengiriman terlambat dari segi fitur,0
menurutku pengalaman saya biasa saja dari pengalaman pertama ya,1
kalau dari pengalamanku dipakai harian tetap nyaman dari segi fitur banget,2
jujur ya harga sesuai kualitas dari segi fitur ya,2
buatku packaging rapi dan aman dari segi fitur,2
kalau dari pengalamanku servis cukup biasa dari pengalaman pertama ya,1
jujur ya harga tidak sebanding dari segi fitur menurutku,0
review singkat pengiriman terlambat ya.,0
buatku pengiriman sesuai estimasi untuk harga segini menurutku,1
kalau dari pengalamanku packaging rusak waktu sampai dari segi fitur buatku,0
buatku packaging rapi dan aman dari pengalaman pertama buatku,2
kalau dari pengalamanku worth it banget buat dibeli dari segi fitur ya!,2
kalau dari pengalamanku fiturnya sangat membantu dari pengalaman pertama ya,2
menurutku packaging rusak waktu sampai buat pemakaian harian buatku,0
jujur ya adminnya responsif dan ramah dari segi fitur menurutku,2
barang ini standar untuk harga segini menurutku,1
buatku overall masih oke untuk harga segini untuk harga segini buatku,1
buatku fiturnya sering error dari pengalaman pertama,0
buatku sejauh ini aman tapi belum spesial buat pemakaian harian menurutku,1
kalau dari pengalamanku adminnya responsif dan ramah dari segi fitur ya,2
jujur ya produk ini standar dari pengalaman pertama ya,1
review singkat packaging rusak waktu sampai sih,0
dipakai sebentar langsung bermasalah untuk harga segini ya,0
sejauh ini aman tapi belum spesial buat pemakaian harian buatku,1
menurutku pengalaman saya biasa saja untuk harga segini menurutku,1
menurutku barang datang dalam kondisi jelek dari pengalaman pertama,0
kalau dari pengalamanku fiturnya sering error untuk harga segini sih,0
review singkat packaging rusak waktu sampai dari segi fitur,0
review singkat barang datang dalam kondisi jelek buatku,0
sejauh ini aman tapi belum spesial untuk harga segini menurutku,1
jujur ya fiturnya cukup membantu buat pemakaian harian sih,1
buatku fiturnya jalan sesuai deskripsi dari pengalaman pertama,1
buatku harga sesuai kualitas dari segi fitur menurutku,2
menurutku barang ini standar dari segi fitur sih.,1
jujur ya sejauh ini aman tapi belum spesial dari segi fitur menurutku,1
menurutku produk ini mengecewakan buat pemakaian harian ya,0
menurutku saya gak puas dari segi fitur,0
review singkat harga tidak sebanding dari pengalaman pertama ya,0
buatku fiturnya sangat membantu dari segi fitur ya,2
menurutku produk ini sangat bagus untuk harga segini buatku,2
menurutku kualitasnya lumayan buat pemakaian harian,1
buatku barang ini standar dari segi fitur.,1
harga sesuai kualitas dari segi fitur menurutku.,2
review singkat produk ini standar buatku,1
kalau dari pengalamanku pengiriman tepat waktu dari pengalaman pertama buatku,2
dipakai harian tetap nyaman dari pengalaman pertama menurutku!,2
review singkat fiturnya sangat membantu,2
kalau dari pengalamanku barang ini mengecewakan dari segi fitur,0
review singkat worth it banget buat dibeli ya.,2
review singkat worth it bgt buat dibeli buat pemakaian harian menurutku,2
pelayanan cepat dan memuaskan buat pemakaian harian sih,2
kalau dari pengalamanku fiturnya cukup membantu buat pemakaian harian buatku.,1
review singkat harga sesuai kwalitas dari pengalaman pertama ya,2
jujur ya kualitasnya buruk ya,0
jujur ya produk ini sangat bagus banget,2
harga sesuai kualitas dari segi fitur,2
jujur ya dipakai sebentar langsung bermasalah dari segi fitur sih...,0
menurutku barang datang dalam kondisi jelek banget,0
kalau dari pengalamanku harga sesuai kualitas buat pemakaian harian buatku,2
jujur ya barang datang dalam kondisi jelek untuk harga segini sih,0
review singkat adminnya susah dihubungi dari pengalaman pertama buatku,0
buatku kualitasnya mantap sih,2
pelayanannya cepat dan memuaskan untuk harga segini buatku,2
kalau dari pengalamanku pengiriman terlambat untuk harga segini buatku,0
review singkat tidak recommended bnget,0
jujur ya fiturnya sangat membantu ya,2
dipakai sebentar langsung bermasalah dari segi fitur ya...,0
kalau dari pengalamanku hasilnya tidak buruk tidak istimewa untuk harga segini bgt,1
buatku harga masih oke untuk harga segini ya,1
pengiriman tepat waktu menurutku,2
menurutku adminnya susah dihubungi untuk harga segini ya.,0
review singkat fiturnya sering error buat pemakaian harian banget...,0
menurutku pelayanan cukup biasa dari segi fitur banget,1
menurutku barang ini standar dari segi fitur!,1
kalau dari pengalamanku worth it banget buat dibeli dari segi fitur sih,2
kalau dari pengalamanku harga sesuai kualitas untuk harga segini menurutku.,2
buatku pelayanan cepat dan memuaskan buat pemakaian harian ya,2
menurutku pengiriman sesuai estimasi dari segi fitur sih,1
review singkat fiturnya beneran membantu dari segi fitur sih,2
pengiriman terlambat untuk harga segini ya,0
harga masih oke dari segi fitur.,1
jujur ya recommended banget buat pemakaian harian ya...,2
kalau dari pengalamanku packaging rusak waktu sampai buat pemakaian harian ya.,0
menurutku pengiriman tepat waktu buat pemakaian harian.,2
jujur ya pelayanan cepat dan memuaskan untuk harga segini menurutku,2
kalau dari pengalamanku pengalaman saya biasa saja untuk harga segini buatku,1
jujur ya harga tidak sebanding,0
menurutku hasilnya ga buruk tidak istimewa ya,1
jujur ya barang datang dalam kondisi jelek untuk harga segini,0
adminnya susah dihubungi buat pemakaian harian,0
menurutku fiturnya sangat membantu buatku.,2
kalau dari pengalamanku kualitasnya lumayan ya,1
jujur ya delivery sesuai estimasi dari segi fitur,1
buatku harga tidak sebanding menurutku.,0
kalau dari pengalamanku packaging rusak waktu sampai buatku.,0
buatku saya suka hasilnya menurutku,2
review singkat adminnya responsif dan ramah dari pengalaman pertama,2
menurutku produk ini mengecewakan untuk harga segini,0
buatku servis cepat dan memuaskan dari pengalaman pertama sih,2
review singkat packaging rapi dan aman untuk harga segini menurutku,2
review singkat fiturnya sering error buatku,0
sejauh ini aman tapi belum spesial untuk harga segini ya,1
review singkat pengiriman tepat waktu sih,2
kalau dari pengalamanku adminnya responsif dan ramah ya,2
buatku saya suka hasilnya dari segi fitur menurutku,2
review singkat delivery normal gak cepat tidak lambat dari segi fitur banget!,1
review singkat packaging rapi dan aman untuk harga segini banget,2
review singkat pengiriman terlambat buatku,0
buatku overall masih oke untuk harga segini dari segi fitur sih!,1
menurutku adminnya susah dihubungi untuk harga segini ya,0
kalau dari pengalamanku adminnya responsif dan ramah untuk harga segini sih!,2
buatku produk ini standar menurutku.,1
jujur ya pengalaman saya biasa saja dari segi fitur sih!,1
buatku fiturnya sering error buat pemakaian harian menurutku.,0
kalau dari pengalamanku hasilnya tidak buruk tidak istimewa buat pemakaian harian sih,1
buatku produk ini standar dari segi fitur banget,1
buatku gak recommended buat pemakaian harian menurutku,0
fiturnya jalan sesuai deskripsi dari pengalaman pertama menurutku,1
buatku produk ini mengecewakan...,0
review singkat hasilnya gak buruk tidak istimewa untuk harga segini ya!,1
kalau dari pengalamanku delivery terlambat dari pengalaman pertama buatku,0
review singkat barang ini standar dari segi fitur.,1
jujur ya fiturnya jalan sesuai deskripsi buat pemakaian harian menurutku!,1
jujur ya produk ini standar untuk harga segini sih,1
kalau dari pengalamanku kualitasnya mantap untuk harga segini ya,2
kalau dari pengalamanku harga masih oke dari segi fitur menurutku,1
overall masih oke untuk harga segini dari pengalaman pertama banget,1
buatku kualitasnya buruk dari pengalaman pertama sih,0
review singkat harga masih oke dari segi fitur ya,1
kalau dari pengalamanku fiturnya jalan sesuai deskripsi dari segi fitur sih,1
kalau dari pengalamanku pengalaman saya biasa saja buat pemakaian harian buatku,1
jujur ya pelayanan cepat dan memuaskan untuk harga segini sih,2
saya suka hasilnya dari pengalaman pertama sih,2
recommended banget untuk harga segini banget,2
buatku pengiriman terlambat dari pengalaman pertama ya,0
kalau dari pengalamanku overall masih oke untuk harga segini sih!,1
kalau dari pengalamanku harga sesuai kualitas dari pengalaman pertama buatku,2
